Activity,Timestamp,Value
Pet Weight Recorded ,11/28 10:46AM,19.4 lbs
Pet Weight Recorded ,11/28 10:31AM,19.3 lbs
Pet Weight Recorded ,11/28 10:17AM,8.8 lbs
Cat Detected,11/28 10:16AM,-
Clean Cycle Complete,11/28 10:10AM,-
Clean Cycle In Progress,11/28 10:08AM,-
Pet Weight Recorded ,11/28 9:53AM,19.1 lbs
Cat Detected,11/28 9:53AM,-
Clean Cycle Complete,11/28 9:02AM,-
Cycle Interrupted,11/28 9:01AM,-
Clean Cycle In Progress,11/28 9:00AM,-
Pet Weight Recorded ,11/28 8:45AM,19.1 lbs
Pet Weight Recorded ,11/28 8:34AM,19.1 lbs
Clean Cycle Complete,11/28 8:24AM,-
Clean Cycle In Progress,11/28 8:22AM,-
Pet Weight Recorded ,11/28 8:07AM,19.2 lbs
Pet Weight Recorded ,11/28 7:55AM,19.0 lbs
Pet Weight Recorded ,11/28 7:54AM,19.1 lbs
Cat Detected,11/28 7:53AM,-
Clean Cycle Complete,11/28 7:10AM,-
Clean Cycle In Progress,11/28 7:08AM,-
Pet Weight Recorded ,11/28 6:53AM,8.8 lbs
Cat Detected,11/28 6:52AM,-
Clean Cycle Complete,11/28 4:29AM,-
Clean Cycle In Progress,11/28 4:27AM,-
Pet Weight Recorded ,11/28 4:12AM,8.9 lbs
Cat Detected,11/28 4:11AM,-
Clean Cycle Complete,11/28 2:27AM,-
Clean Cycle In Progress,11/28 2:25AM,-
Pet Weight Recorded ,11/28 2:10AM,19.1 lbs
Pet Weight Recorded ,11/28 2:09AM,19.2 lbs
Cat Detected,11/28 2:08AM,-
Clean Cycle Complete,11/28 1:18AM,-
Clean Cycle In Progress,11/28 1:16AM,-
Pet Weight Recorded ,11/28 1:01AM,19.3 lbs
Pet Weight Recorded ,11/28 12:51AM,19.3 lbs
Pet Weight Recorded ,11/28 12:47AM,19.2 lbs
Cat Detected,11/28 12:47AM,-
Clean Cycle Complete,11/28 12:45AM,-
Clean Cycle In Progress,11/28 12:43AM,-
Pet Weight Recorded ,11/28 12:28AM,19.3 lbs
Pet Weight Recorded ,11/28 12:21AM,19.4 lbs
Pet Weight Recorded ,11/28 12:20AM,19.2 lbs
Cat Detected,11/28 12:19AM,-
Clean Cycle Complete,11/27 11:32PM,-
Clean Cycle In Progress,11/27 11:30PM,-
Pet Weight Recorded ,11/27 11:30PM,8.9 lbs
Cat Detected,11/27 11:28PM,-
Clean Cycle Complete,11/27 11:17PM,-
Clean Cycle In Progress,11/27 11:14PM,-
Pet Weight Recorded ,11/27 10:59PM,9.2 lbs
Pet Weight Recorded ,11/27 10:51PM,19.3 lbs
Pet Weight Recorded ,11/27 10:50PM,15.4 lbs
Pet Weight Recorded ,11/27 10:44PM,19.3 lbs
Pet Weight Recorded ,11/27 10:37PM,15.4 lbs
Pet Weight Recorded ,11/27 10:32PM,19.3 lbs
Pet Weight Recorded ,11/27 10:22PM,19.1 lbs
Cat Detected,11/27 10:22PM,-
Clean Cycle Complete,11/27 4:37PM,-
Clean Cycle In Progress,11/27 4:35PM,-
Pet Weight Recorded ,11/27 4:20PM,8.9 lbs
Cat Detected,11/27 4:18PM,-
Clean Cycle Complete,11/27 3:48PM,-
Clean Cycle In Progress,11/27 3:46PM,-
Pet Weight Recorded ,11/27 3:31PM,19.4 lbs
Pet Weight Recorded ,11/27 3:29PM,19.1 lbs
Pet Weight Recorded ,11/27 3:14PM,8.9 lbs
Cat Detected,11/27 3:14PM,-
Clean Cycle Complete,11/27 12:00PM,-
Clean Cycle In Progress,11/27 11:57AM,-
Pet Weight Recorded ,11/27 11:42AM,19.5 lbs
Cat Detected,11/27 11:41AM,-
Clean Cycle Complete,11/27 11:32AM,-
Clean Cycle In Progress,11/27 11:29AM,-
Pet Weight Recorded ,11/27 11:14AM,19.5 lbs
Cat Detected,11/27 11:14AM,-
Clean Cycle Complete,11/27 10:59AM,-
Clean Cycle In Progress,11/27 10:57AM,-
Pet Weight Recorded ,11/27 10:42AM,19.4 lbs
Pet Weight Recorded ,11/27 10:41AM,19.3 lbs
Pet Weight Recorded ,11/27 10:36AM,19.5 lbs
Cat Detected,11/27 10:35AM,-
Clean Cycle Complete,11/27 10:13AM,-
Clean Cycle In Progress,11/27 10:11AM,-
Pet Weight Recorded ,11/27 9:51AM,19.7 lbs
Pet Weight Recorded ,11/27 9:44AM,19.5 lbs
Pet Weight Recorded ,11/27 9:41AM,19.7 lbs
Pet Weight Recorded ,11/27 9:28AM,19.7 lbs
Pet Weight Recorded ,11/27 9:25AM,15.6 lbs
Pet Weight Recorded ,11/27 9:23AM,19.5 lbs
Cat Detected,11/27 9:22AM,-
Clean Cycle Complete,11/27 6:40AM,-
Clean Cycle In Progress,11/27 6:38AM,-
Pet Weight Recorded ,11/27 6:23AM,9.0 lbs
Cat Detected,11/27 6:21AM,-
Clean Cycle Complete,11/27 5:48AM,-
Clean Cycle In Progress,11/27 5:46AM,-
Pet Weight Recorded ,11/27 5:30AM,15.5 lbs
Cat Detected,11/27 5:28AM,-
Clean Cycle Complete,11/27 2:53AM,-
Cycle Interrupted,11/27 2:52AM,-
Clean Cycle In Progress,11/27 2:50AM,-
Pet Weight Recorded ,11/27 2:35AM,9.0 lbs
Cat Detected,11/27 2:33AM,-
Clean Cycle Complete,11/27 12:56AM,-
Clean Cycle In Progress,11/27 12:54AM,-
Pet Weight Recorded ,11/27 12:38AM,19.6 lbs
Cat Detected,11/27 12:38AM,-
Clean Cycle Complete,11/26 10:48PM,-
Clean Cycle In Progress,11/26 10:46PM,-
Pet Weight Recorded ,11/26 10:31PM,15.8 lbs
Pet Weight Recorded ,11/26 10:20PM,9.1 lbs
Pet Weight Recorded ,11/26 10:08PM,19.6 lbs
Pet Weight Recorded ,11/26 10:07PM,19.6 lbs
Cat Detected,11/26 10:07PM,-
Clean Cycle Complete,11/26 9:51PM,-
Clean Cycle In Progress,11/26 9:49PM,-
Pet Weight Recorded ,11/26 9:33PM,19.6 lbs
Cat Detected,11/26 9:32PM,-
Clean Cycle Complete,11/26 9:29PM,-
Clean Cycle In Progress,11/26 9:26PM,-
Pet Weight Recorded ,11/26 9:11PM,19.4 lbs
Cat Detected,11/26 9:10PM,-
Clean Cycle Complete,11/26 5:34PM,-
