Activity,Timestamp,Value
Cat Detected,10/21 5:17AM,-
Clean Cycle Complete,10/21 2:27AM,-
Clean Cycle In Progress,10/21 2:25AM,-
Pet Weight Recorded ,10/21 2:10AM,19.7 lbs
Pet Weight Recorded ,10/21 2:09AM,19.6 lbs
Cat Detected,10/21 2:08AM,-
Clean Cycle Complete,10/21 1:54AM,-
Pet Weight Recorded ,10/21 1:53AM,15.7 lbs
Cycle Interrupted,10/21 1:53AM,-
Pet Weight Recorded ,10/21 1:52AM,15.6 lbs
Cycle Interrupted,10/21 1:52AM,-
Pet Weight Recorded ,10/21 1:51AM,7.9 lbs
Cycle Interrupted,10/21 1:50AM,-
Clean Cycle In Progress,10/21 1:49AM,-
Pet Weight Recorded ,10/21 1:34AM,15.6 lbs
Cat Detected,10/21 1:29AM,-
Clean Cycle Complete,10/20 4:27PM,-
Clean Cycle In Progress,10/20 4:25PM,-
Pet Weight Recorded ,10/20 4:09PM,9.1 lbs
Cat Detected,10/20 4:07PM,-
Clean Cycle Complete,10/20 3:08PM,-
Cycle Interrupted,10/20 3:06PM,-
Clean Cycle In Progress,10/20 3:06PM,-
Pet Weight Recorded ,10/20 2:51PM,15.6 lbs
Cat Detected,10/20 2:49PM,-
Clean Cycle Complete,10/20 9:28AM,-
Cycle Interrupted,10/20 9:26AM,-
Cycle Interrupted,10/20 9:25AM,-
Clean Cycle In Progress,10/20 9:25AM,-
Pet Weight Recorded ,10/20 9:10AM,19.6 lbs
Pet Weight Recorded ,10/20 9:06AM,19.6 lbs
Cat Detected,10/20 9:04AM,-
Clean Cycle Complete,10/20 7:32AM,-
Clean Cycle In Progress,10/20 7:30AM,-
Pet Weight Recorded ,10/20 7:15AM,4.5 lbs
Pet Weight Recorded ,10/20 7:12AM,11.4 lbs
Cat Detected,10/20 7:09AM,-
Clean Cycle Complete,10/19 10:15PM,-
Clean Cycle In Progress,10/19 10:13PM,-
Pet Weight Recorded ,10/19 9:58PM,15.7 lbs
Pet Weight Recorded ,10/19 9:45PM,15.7 lbs
Pet Weight Recorded ,10/19 9:37PM,9.0 lbs
Cat Detected,10/19 9:36PM,-
Clean Cycle Complete,10/19 3:23PM,-
Clean Cycle In Progress,10/19 3:21PM,-
Pet Weight Recorded ,10/19 3:06PM,9.0 lbs
Cat Detected,10/19 3:03PM,-
Clean Cycle Complete,10/19 10:38AM,-
Clean Cycle In Progress,10/19 10:35AM,-
Pet Weight Recorded ,10/19 10:20AM,19.7 lbs
Pet Weight Recorded ,10/19 10:19AM,19.7 lbs
Cat Detected,10/19 10:18AM,-
Clean Cycle Complete,10/19 6:45AM,-
Clean Cycle In Progress,10/19 6:42AM,-
Pet Weight Recorded ,10/19 6:27AM,15.8 lbs
Pet Weight Recorded ,10/19 6:25AM,9.0 lbs
Cat Detected,10/19 6:24AM,-
Clean Cycle Complete,10/18 10:30PM,-
Clean Cycle In Progress,10/18 10:28PM,-
Pet Weight Recorded ,10/18 10:13PM,9.0 lbs
Cat Detected,10/18 10:12PM,-
Clean Cycle Complete,10/18 9:53PM,-
Clean Cycle In Progress,10/18 9:51PM,-
Pet Weight Recorded ,10/18 9:27PM,19.7 lbs
Pet Weight Recorded ,10/18 9:17PM,19.6 lbs
Cat Detected,10/18 9:15PM,-
Clean Cycle Complete,10/18 3:26PM,-
Clean Cycle In Progress,10/18 3:24PM,-
Cat Detected,10/18 3:09PM,-
Clean Cycle Complete,10/18 12:38PM,-
Clean Cycle In Progress,10/18 12:36PM,-
Cat Detected,10/18 12:20PM,-
Clean Cycle Complete,10/18 11:09AM,-
Clean Cycle In Progress,10/18 11:07AM,-
Pet Weight Recorded ,10/18 10:52AM,15.6 lbs
Cat Detected,10/18 10:50AM,-
Clean Cycle Complete,10/18 7:02AM,-
Clean Cycle In Progress,10/18 7:00AM,-
Pet Weight Recorded ,10/18 6:45AM,9.1 lbs
Cat Detected,10/18 6:44AM,-
Clean Cycle Complete,10/18 2:07AM,-
Pet Weight Recorded ,10/18 2:06AM,15.5 lbs
Cycle Interrupted,10/18 2:06AM,-
Clean Cycle In Progress,10/18 2:04AM,-
Pet Weight Recorded ,10/18 1:49AM,15.5 lbs
Cat Detected,10/18 1:47AM,-
Clean Cycle Complete,10/18 1:20AM,-
Cycle Interrupted,10/18 1:19AM,-
Clean Cycle In Progress,10/18 1:18AM,-
Pet Weight Recorded ,10/18 1:03AM,19.5 lbs
Pet Weight Recorded ,10/18 1:02AM,19.4 lbs
Cat Detected,10/18 1:01AM,-
Clean Cycle Complete,10/17 11:56PM,-
Clean Cycle In Progress,10/17 11:54PM,-
Pet Weight Recorded ,10/17 11:25PM,19.6 lbs
Pet Weight Recorded ,10/17 11:24PM,19.5 lbs
Cat Detected,10/17 11:23PM,-
Clean Cycle Complete,10/17 11:04PM,-
Clean Cycle In Progress,10/17 11:02PM,-
Pet Weight Recorded ,10/17 10:47PM,15.6 lbs
Pet Weight Recorded ,10/17 10:33PM,9.0 lbs
Cat Detected,10/17 10:31PM,-
Clean Cycle Complete,10/17 3:26PM,-
Clean Cycle In Progress,10/17 3:24PM,-
Pet Weight Recorded ,10/17 2:31PM,9.0 lbs
Clean Cycle Complete,10/17 11:41AM,-
Cycle Interrupted,10/17 11:39AM,-
Cycle Interrupted,10/17 11:37AM,-
Cycle Interrupted,10/17 11:36AM,-
Clean Cycle In Progress,10/17 11:35AM,-
Pet Weight Recorded ,10/17 11:20AM,9.1 lbs
Cat Detected,10/17 11:18AM,-
Clean Cycle Complete,10/17 2:36AM,-
Pet Weight Recorded ,10/17 2:35AM,15.6 lbs
Cycle Interrupted,10/17 2:34AM,-
Clean Cycle In Progress,10/17 2:32AM,-
Pet Weight Recorded ,10/17 2:17AM,9.1 lbs
Cat Detected,10/17 2:16AM,-
Clean Cycle Complete,10/17 12:55AM,-
Clean Cycle In Progress,10/17 12:53AM,-
Pet Weight Recorded ,10/17 12:38AM,19.4 lbs
Cat Detected,10/17 12:37AM,-
Clean Cycle Complete,10/16 11:50PM,-
Clean Cycle In Progress,10/16 11:48PM,-
Pet Weight Recorded ,10/16 11:33PM,15.4 lbs
Cat Detected,10/16 11:31PM,-
Clean Cycle Complete,10/16 10:17PM,-
Clean Cycle In Progress,10/16 10:15PM,-
Pet Weight Recorded ,10/16 10:00PM,15.5 lbs
Cat Detected,10/16 9:58PM,-
Clean Cycle Complete,10/16 8:13PM,-
Pet Weight Recorded ,10/16 8:12PM,15.7 lbs
Cycle Interrupted,10/16 8:11PM,-
Clean Cycle In Progress,10/16 8:10PM,-
Pet Weight Recorded ,10/16 7:55PM,9.1 lbs
Cat Detected,10/16 7:53PM,-
Clean Cycle Complete,10/16 2:57PM,-
Clean Cycle In Progress,10/16 2:55PM,-
Pet Weight Recorded ,10/16 2:40PM,9.1 lbs
Cat Detected,10/16 2:37PM,-
Clean Cycle Complete,10/16 10:33AM,-
Cycle Interrupted,10/16 10:32AM,-
Clean Cycle In Progress,10/16 10:31AM,-
Pet Weight Recorded ,10/16 10:15AM,19.6 lbs
Pet Weight Recorded ,10/16 10:14AM,19.5 lbs
Cat Detected,10/16 10:13AM,-
Clean Cycle Complete,10/16 8:02AM,-
Clean Cycle In Progress,10/16 8:00AM,-
Pet Weight Recorded ,10/16 7:44AM,9.2 lbs
Cat Detected,10/16 7:42AM,-
Clean Cycle Complete,10/16 5:33AM,-
Clean Cycle In Progress,10/16 5:31AM,-
Pet Weight Recorded ,10/16 5:16AM,15.6 lbs
Pet Weight Recorded ,10/16 5:11AM,9.2 lbs
Cat Detected,10/16 5:10AM,-
Clean Cycle Complete,10/15 11:35PM,-
Clean Cycle In Progress,10/15 11:33PM,-
Pet Weight Recorded ,10/15 11:17PM,15.6 lbs
Cat Detected,10/15 11:16PM,-
Clean Cycle Complete,10/15 5:48PM,-
Clean Cycle In Progress,10/15 5:46PM,-
Cat Detected,10/15 5:31PM,-
Clean Cycle Complete,10/15 5:16PM,-
Cycle Interrupted,10/15 5:15PM,-
Clean Cycle Complete,10/15 5:13PM,-
Pet Weight Recorded ,10/15 5:08PM,19.3 lbs
Pet Weight Recorded ,10/15 4:33PM,9.0 lbs
Cat Detected,10/15 11:40AM,-
Clean Cycle Complete,10/15 11:20AM,-
Clean Cycle In Progress,10/15 11:18AM,-
Pet Weight Recorded ,10/15 11:03AM,9.1 lbs
Clean Cycle Complete,10/15 10:12AM,-
Pet Weight Recorded ,10/15 10:12AM,15.3 lbs
Cycle Interrupted,10/15 10:10AM,-
Clean Cycle In Progress,10/15 10:08AM,-
Pet Weight Recorded ,10/15 9:53AM,15.4 lbs
Cat Detected,10/15 9:51AM,-
Clean Cycle Complete,10/15 9:40AM,-
Pet Weight Recorded ,10/15 9:40AM,15.7 lbs
Cycle Interrupted,10/15 9:39AM,-
Clean Cycle In Progress,10/15 9:37AM,-
Pet Weight Recorded ,10/15 9:22AM,19.6 lbs
Pet Weight Recorded ,10/15 9:08AM,19.5 lbs
Pet Weight Recorded ,10/15 9:04AM,19.3 lbs
Cat Detected,10/15 9:03AM,-
Clean Cycle Complete,10/15 6:35AM,-
Clean Cycle In Progress,10/15 6:33AM,-
Pet Weight Recorded ,10/15 6:17AM,9.1 lbs
Cat Detected,10/15 6:17AM,-
Clean Cycle Complete,10/14 6:15PM,-
Clean Cycle In Progress,10/14 6:13PM,-
Pet Weight Recorded ,10/14 5:58PM,7.1 lbs
Clean Cycle Complete,10/14 5:57PM,-
Cat Detected,10/14 5:57PM,-
Clean Cycle In Progress,10/14 5:55PM,-
Pet Weight Recorded ,10/14 5:40PM,15.5 lbs
Cat Detected,10/14 5:37PM,-
Clean Cycle Complete,10/14 4:26PM,-
Clean Cycle In Progress,10/14 4:24PM,-
Pet Weight Recorded ,10/14 4:09PM,9.0 lbs
Cat Detected,10/14 4:06PM,-
Clean Cycle Complete,10/14 8:29AM,-
Clean Cycle In Progress,10/14 8:26AM,-
Pet Weight Recorded ,10/14 8:09AM,19.7 lbs
Pet Weight Recorded ,10/14 8:08AM,19.5 lbs
Pet Weight Recorded ,10/14 8:06AM,15.5 lbs
Cat Detected,10/14 8:03AM,-
Clean Cycle Complete,10/14 7:35AM,-
Pet Weight Recorded ,10/14 7:34AM,8.0 lbs
Cycle Interrupted,10/14 7:34AM,-
Clean Cycle In Progress,10/14 7:32AM,-
Pet Weight Recorded ,10/14 7:17AM,9.1 lbs
Cat Detected,10/14 7:17AM,-
Clean Cycle Complete,10/14 3:01AM,-
Clean Cycle In Progress,10/14 2:59AM,-
Cat Detected,10/14 2:44AM,-
Clean Cycle Complete,10/13 10:32PM,-
Clean Cycle In Progress,10/13 10:30PM,-
Pet Weight Recorded ,10/13 10:14PM,8.9 lbs
Cat Detected,10/13 10:13PM,-
Clean Cycle Complete,10/13 7:28PM,-
Pet Weight Recorded ,10/13 7:27PM,15.5 lbs
Cycle Interrupted,10/13 7:25PM,-
Clean Cycle In Progress,10/13 7:23PM,-
Pet Weight Recorded ,10/13 7:08PM,15.5 lbs
Cat Detected,10/13 7:07PM,-
Clean Cycle Complete,10/13 4:49PM,-
Clean Cycle In Progress,10/13 4:47PM,-
Pet Weight Recorded ,10/13 2:31PM,9.1 lbs
Pet Weight Recorded ,10/13 10:24AM,15.4 lbs
Pet Weight Recorded ,10/13 9:59AM,15.3 lbs
Clean Cycle Complete,10/13 9:36AM,-
Clean Cycle In Progress,10/13 9:34AM,-
Pet Weight Recorded ,10/13 9:19AM,9.3 lbs
Pet Weight Recorded ,10/13 9:11AM,19.5 lbs
Pet Weight Recorded ,10/13 9:07AM,19.5 lbs
Cat Detected,10/13 9:07AM,-
Clean Cycle Complete,10/13 5:55AM,-
Clean Cycle In Progress,10/13 5:53AM,-
Pet Weight Recorded ,10/13 5:38AM,9.3 lbs
Cat Detected,10/13 5:37AM,-
Clean Cycle Complete,10/12 10:22PM,-
Clean Cycle In Progress,10/12 10:20PM,-
Pet Weight Recorded ,10/12 10:05PM,15.8 lbs
Pet Weight Recorded ,10/12 9:59PM,19.6 lbs
Pet Weight Recorded ,10/12 9:57PM,19.6 lbs
Pet Weight Recorded ,10/12 9:56PM,19.5 lbs
Cat Detected,10/12 9:55PM,-
Clean Cycle Complete,10/12 8:04PM,-
Clean Cycle In Progress,10/12 8:02PM,-
Pet Weight Recorded ,10/12 7:47PM,9.3 lbs
Cat Detected,10/12 7:46PM,-
Clean Cycle Complete,10/12 3:50PM,-
Clean Cycle In Progress,10/12 3:48PM,-
Pet Weight Recorded ,10/12 3:33PM,15.7 lbs
Cat Detected,10/12 3:30PM,-
Clean Cycle Complete,10/12 2:57PM,-
Clean Cycle In Progress,10/12 2:54PM,-
Pet Weight Recorded ,10/12 2:39PM,9.3 lbs
Cat Detected,10/12 2:37PM,-
Clean Cycle Complete,10/12 1:45PM,-
Clean Cycle In Progress,10/12 1:42PM,-
Pet Weight Recorded ,10/12 1:27PM,9.3 lbs
Cat Detected,10/12 1:26PM,-
Clean Cycle Complete,10/12 12:03PM,-
Clean Cycle In Progress,10/12 12:01PM,-
Pet Weight Recorded ,10/12 11:46AM,19.6 lbs
Cat Detected,10/12 11:45AM,-
Clean Cycle Complete,10/12 7:01AM,-
Clean Cycle In Progress,10/12 6:59AM,-
Pet Weight Recorded ,10/12 6:44AM,9.2 lbs
Cat Detected,10/12 6:43AM,-
Clean Cycle Complete,10/12 1:10AM,-
Pet Weight Recorded ,10/12 1:09AM,15.8 lbs
Cycle Interrupted,10/12 1:08AM,-
Pet Weight Recorded ,10/12 1:08AM,15.8 lbs
Clean Cycle In Progress,10/12 1:06AM,-
Pet Weight Recorded ,10/12 12:51AM,15.6 lbs
Cat Detected,10/12 12:49AM,-
Clean Cycle Complete,10/12 12:48AM,-
Clean Cycle In Progress,10/12 12:46AM,-
Pet Weight Recorded ,10/12 12:31AM,19.4 lbs
Pet Weight Recorded ,10/12 12:26AM,15.7 lbs
Cat Detected,10/12 12:24AM,-
Clean Cycle Complete,10/11 11:54PM,-
Clean Cycle In Progress,10/11 11:52PM,-
Pet Weight Recorded ,10/11 11:37PM,9.3 lbs
Cat Detected,10/11 11:34PM,-
Clean Cycle Complete,10/11 4:41PM,-
Clean Cycle In Progress,10/11 4:39PM,-
Pet Weight Recorded ,10/11 4:11PM,9.3 lbs
Cat Detected,10/11 4:09PM,-
Clean Cycle Complete,10/11 12:51PM,-
Clean Cycle In Progress,10/11 12:49PM,-
Cat Detected,10/10 11:33PM,-
Clean Cycle Complete,10/10 10:43PM,-
Clean Cycle In Progress,10/10 10:41PM,-
Pet Weight Recorded ,10/10 10:26PM,9.1 lbs
Cat Detected,10/10 10:25PM,-
Clean Cycle Complete,10/10 8:24PM,-
Clean Cycle In Progress,10/10 8:22PM,-
Pet Weight Recorded ,10/10 8:07PM,15.4 lbs
Cat Detected,10/10 8:05PM,-
Clean Cycle Complete,10/10 4:59PM,-
Clean Cycle In Progress,10/10 4:57PM,-
Pet Weight Recorded ,10/10 4:42PM,9.3 lbs
Cat Detected,10/10 4:39PM,-
Clean Cycle Complete,10/10 4:23PM,-
Clean Cycle In Progress,10/10 4:21PM,-
Cat Detected,10/10 4:06PM,-
Clean Cycle Complete,10/10 3:55PM,-
Clean Cycle In Progress,10/10 3:53PM,-
Pet Weight Recorded ,10/10 3:35PM,15.5 lbs
Cat Detected,10/10 3:33PM,-
Clean Cycle Complete,10/10 2:51PM,-
Clean Cycle In Progress,10/10 2:49PM,-
Pet Weight Recorded ,10/10 2:34PM,19.7 lbs
Pet Weight Recorded ,10/10 2:33PM,19.4 lbs
Cat Detected,10/10 2:32PM,-
Clean Cycle Complete,10/10 12:17PM,-
Clean Cycle In Progress,10/10 12:15PM,-
Pet Weight Recorded ,10/10 12:00PM,9.3 lbs
Cat Detected,10/10 11:55AM,-
Clean Cycle Complete,10/10 5:45AM,-
Clean Cycle In Progress,10/10 5:43AM,-
Pet Weight Recorded ,10/10 5:28AM,9.1 lbs
Cat Detected,10/10 5:27AM,-
Clean Cycle Complete,10/10 1:22AM,-
Pet Weight Recorded ,10/10 1:21AM,15.5 lbs
