Activity,Timestamp,Value
Pet Weight Recorded ,6/25 1:37AM,14.5 lbs
Pet Weight Recorded ,6/25 1:28AM,14.6 lbs
Pet Weight Recorded ,6/25 1:23AM,9.3 lbs
Pet Weight Recorded ,6/25 1:19AM,9.0 lbs
Cat Detected,6/25 1:18AM,-
Clean Cycle Complete,6/25 1:10AM,-
Cycle Interrupted,6/25 1:08AM,-
Clean Cycle In Progress,6/25 1:07AM,-
Pet Weight Recorded ,6/25 12:42AM,14.5 lbs
Cat Detected,6/25 12:40AM,-
Clean Cycle Complete,6/24 1:50PM,-
Clean Cycle In Progress,6/24 1:48PM,-
Pet Weight Recorded ,6/24 1:22PM,8.8 lbs
Cat Detected,6/24 1:20PM,-
Clean Cycle Complete,6/24 11:08AM,-
Clean Cycle In Progress,6/24 11:05AM,-
Pet Weight Recorded ,6/24 10:40AM,14.5 lbs
Pet Weight Recorded ,6/24 10:39AM,14.5 lbs
Pet Weight Recorded ,6/24 10:35AM,5.3 lbs
Pet Weight Recorded ,6/24 10:34AM,19.6 lbs
Pet Weight Recorded ,6/24 10:28AM,9.7 lbs
Cat Detected,6/24 10:27AM,-
Clean Cycle Complete,6/24 9:58AM,-
Clean Cycle In Progress,6/24 9:56AM,-
Pet Weight Recorded ,6/24 9:31AM,14.4 lbs
Pet Weight Recorded ,6/24 9:29AM,8.8 lbs
Cat Detected,6/24 9:27AM,-
Clean Cycle Complete,6/24 2:06AM,-
Cycle Interrupted,6/24 2:04AM,-
Clean Cycle In Progress,6/24 2:03AM,-
Pet Weight Recorded ,6/24 1:34AM,19.9 lbs
Pet Weight Recorded ,6/24 1:33AM,19.7 lbs
Pet Weight Recorded ,6/24 1:31AM,19.8 lbs
Pet Weight Recorded ,6/24 1:21AM,8.8 lbs
Clean Cycle Complete,6/24 12:44AM,-
Clean Cycle In Progress,6/24 12:42AM,-
Pet Weight Recorded ,6/24 12:17AM,14.5 lbs
Cat Detected,6/24 12:15AM,-
Clean Cycle Complete,6/23 5:30PM,-
Clean Cycle In Progress,6/23 5:27PM,-
Cat Detected,6/23 5:02PM,-
Clean Cycle Complete,6/23 4:41PM,-
Clean Cycle In Progress,6/23 4:39PM,-
Pet Weight Recorded ,6/23 4:14PM,8.9 lbs
Cat Detected,6/23 4:11PM,-
Clean Cycle Complete,6/23 2:19PM,-
Clean Cycle In Progress,6/23 2:17PM,-
Pet Weight Recorded ,6/23 1:36PM,14.4 lbs
Pet Weight Recorded ,6/23 1:35PM,14.4 lbs
Cat Detected,6/23 1:34PM,-
Clean Cycle Complete,6/23 8:14AM,-
Clean Cycle In Progress,6/23 8:12AM,-
Cat Detected,6/23 7:47AM,-
Clean Cycle Complete,6/23 7:10AM,-
Clean Cycle In Progress,6/23 7:07AM,-
Pet Weight Recorded ,6/23 6:42AM,8.1 lbs
Cat Detected,6/23 6:42AM,-
Clean Cycle Complete,6/23 6:34AM,-
Clean Cycle In Progress,6/23 6:31AM,-
Pet Weight Recorded ,6/23 6:06AM,19.5 lbs
Pet Weight Recorded ,6/23 5:39AM,5.6 lbs
Pet Weight Recorded ,6/23 5:34AM,8.9 lbs
Cat Detected,6/23 5:32AM,-
Clean Cycle Complete,6/23 1:25AM,-
Cycle Interrupted,6/23 1:23AM,-
Cycle Interrupted,6/23 1:22AM,-
Clean Cycle In Progress,6/23 1:22AM,-
Cat Detected,6/23 12:57AM,-
Clean Cycle Complete,6/23 12:55AM,-
Cycle Interrupted,6/23 12:53AM,-
Clean Cycle In Progress,6/23 12:53AM,-
Pet Weight Recorded ,6/23 12:28AM,14.2 lbs
Cat Detected,6/23 12:25AM,-
Clean Cycle Complete,6/22 4:53PM,-
Clean Cycle In Progress,6/22 4:51PM,-
Pet Weight Recorded ,6/22 4:25PM,14.1 lbs
Pet Weight Recorded ,6/22 4:19PM,8.9 lbs
Cat Detected,6/22 4:16PM,-
Clean Cycle Complete,6/22 12:56PM,-
Clean Cycle In Progress,6/22 12:54PM,-
Pet Weight Recorded ,6/22 12:28PM,14.3 lbs
Pet Weight Recorded ,6/22 12:27PM,14.2 lbs
Cat Detected,6/22 12:26PM,-
Clean Cycle Complete,6/22 10:47AM,-
Cycle Interrupted,6/22 10:46AM,-
Cycle Interrupted,6/22 10:44AM,-
Cycle Interrupted,6/22 10:42AM,-
Clean Cycle In Progress,6/22 10:42AM,-
Pet Weight Recorded ,6/22 10:16AM,19.4 lbs
Cat Detected,6/22 10:15AM,-
Clean Cycle Complete,6/22 9:35AM,-
Cycle Interrupted,6/22 9:33AM,-
Pet Weight Recorded ,6/22 9:32AM,7.4 lbs
Cycle Interrupted,6/22 9:32AM,-
Clean Cycle In Progress,6/22 9:31AM,-
Pet Weight Recorded ,6/22 8:49AM,10.2 lbs
Pet Weight Recorded ,6/22 8:48AM,9.0 lbs
Cat Detected,6/22 8:46AM,-
Clean Cycle Complete,6/22 8:41AM,-
Cycle Interrupted,6/22 8:39AM,-
Cycle Interrupted,6/22 8:38AM,-
Clean Cycle In Progress,6/22 8:38AM,-
Pet Weight Recorded ,6/22 8:30AM,19.5 lbs
Pet Weight Recorded ,6/22 8:29AM,19.5 lbs
Pet Weight Recorded ,6/22 8:19AM,8.3 lbs
Pet Weight Recorded ,6/22 8:18AM,19.5 lbs
Cat Detected,6/22 8:18AM,-
Clean Cycle Complete,6/22 7:46AM,-
Clean Cycle In Progress,6/22 7:43AM,-
Pet Weight Recorded ,6/22 7:18AM,14.2 lbs
Pet Weight Recorded ,6/22 7:04AM,14.2 lbs
Cat Detected,6/22 7:01AM,-
Clean Cycle Complete,6/22 1:36AM,-
Clean Cycle In Progress,6/22 1:34AM,-
