Activity,Timestamp,Value
Cat Detected,5/25 8:44PM,-
Clean Cycle Complete,5/25 7:34PM,-
Clean Cycle In Progress,5/25 7:32PM,-
Cat Detected,5/25 7:07PM,-
Clean Cycle Complete,5/25 3:16PM,-
Clean Cycle In Progress,5/25 3:14PM,-
Cat Detected,5/25 2:49PM,-
Clean Cycle Complete,5/25 10:06AM,-
Cycle Interrupted,5/25 10:04AM,-
Cycle Interrupted,5/25 10:03AM,-
Clean Cycle In Progress,5/25 10:03AM,-
Pet Weight Recorded ,5/25 9:38AM,9.4 lbs
Cat Detected,5/25 9:37AM,-
Clean Cycle Complete,5/25 9:33AM,-
Pet Weight Recorded ,5/25 9:33AM,7.4 lbs
Cycle Interrupted,5/25 9:31AM,-
Clean Cycle In Progress,5/25 9:29AM,-
Pet Weight Recorded ,5/25 9:04AM,7.3 lbs
Cat Detected,5/25 9:02AM,-
Clean Cycle Complete,5/25 9:02AM,-
Pet Weight Recorded ,5/25 9:00AM,14.0 lbs
Cycle Interrupted,5/25 8:58AM,-
Clean Cycle In Progress,5/25 8:58AM,-
Cat Detected,5/25 8:32AM,-
Clean Cycle Complete,5/25 1:38AM,-
Cycle Interrupted,5/25 1:36AM,-
Pet Weight Recorded ,5/25 1:36AM,6.8 lbs
Cycle Interrupted,5/25 1:35AM,-
Clean Cycle In Progress,5/25 1:34AM,-
Cat Detected,5/25 1:31AM,-
Clean Cycle Complete,5/23 12:26PM,-
Clean Cycle In Progress,5/23 12:24PM,-
Cat Detected,5/23 11:59AM,-
Clean Cycle Complete,5/23 9:45AM,-
Clean Cycle In Progress,5/23 9:43AM,-
Pet Weight Recorded ,5/23 9:18AM,9.3 lbs
Cat Detected,5/23 9:17AM,-
Clean Cycle Complete,5/23 9:04AM,-
Cycle Interrupted,5/23 9:04AM,-
Clean Cycle In Progress,5/23 9:02AM,-
Cat Detected,5/23 8:34AM,-
Clean Cycle Complete,5/23 8:22AM,-
Pet Weight Recorded ,5/23 8:20AM,14.1 lbs
Cycle Interrupted,5/23 8:19AM,-
Pet Weight Recorded ,5/23 8:18AM,14.0 lbs
Cycle Interrupted,5/23 8:14AM,-
Clean Cycle In Progress,5/23 8:14AM,-
Pet Weight Recorded ,5/23 7:25AM,9.3 lbs
Cat Detected,5/23 7:23AM,-
Clean Cycle Complete,5/23 1:36AM,-
Cycle Interrupted,5/23 1:34AM,-
Clean Cycle In Progress,5/23 1:33AM,-
Pet Weight Recorded ,5/23 1:08AM,14.2 lbs
Cat Detected,5/23 1:05AM,-
Clean Cycle Complete,5/23 1:02AM,-
Pet Weight Recorded ,5/23 1:00AM,6.5 lbs
Cycle Interrupted,5/23 12:58AM,-
Clean Cycle In Progress,5/23 12:58AM,-
Pet Weight Recorded ,5/23 12:33AM,6.8 lbs
Cat Detected,5/23 12:33AM,-
Clean Cycle Complete,5/23 12:06AM,-
Clean Cycle In Progress,5/23 12:04AM,-
Pet Weight Recorded ,5/22 11:38PM,9.2 lbs
Cat Detected,5/22 11:37PM,-
Clean Cycle Complete,5/22 9:08PM,-
Pet Weight Recorded ,5/22 9:06PM,6.9 lbs
Cycle Interrupted,5/22 9:06PM,-
Pet Weight Recorded ,5/22 9:05PM,7.6 lbs
Cycle Interrupted,5/22 9:03PM,-
Clean Cycle In Progress,5/22 9:03PM,-
Pet Weight Recorded ,5/22 8:36PM,9.2 lbs
Pet Weight Recorded ,5/22 8:15PM,9.2 lbs
Cat Detected,5/22 8:15PM,-
Clean Cycle Complete,5/22 3:34PM,-
Clean Cycle In Progress,5/22 3:32PM,-
Cat Detected,5/22 3:05PM,-
Clean Cycle Complete,5/22 11:22AM,-
Clean Cycle In Progress,5/22 11:19AM,-
Pet Weight Recorded ,5/22 10:44AM,6.8 lbs
Pet Weight Recorded ,5/22 10:43AM,9.2 lbs
Cat Detected,5/22 10:40AM,-
Clean Cycle Complete,5/22 10:01AM,-
Clean Cycle In Progress,5/22 9:59AM,-
Cat Detected,5/22 9:33AM,-
Clean Cycle Complete,5/22 8:24AM,-
Clean Cycle In Progress,5/22 8:21AM,-
Pet Weight Recorded ,5/22 7:42AM,6.8 lbs
Pet Weight Recorded ,5/22 7:41AM,9.2 lbs
Cat Detected,5/22 7:27AM,-
Clean Cycle Complete,5/22 3:01AM,-
Clean Cycle In Progress,5/22 2:59AM,-
Pet Weight Recorded ,5/22 2:34AM,9.3 lbs
Cat Detected,5/22 2:33AM,-
Clean Cycle Complete,5/22 2:29AM,-
Clean Cycle In Progress,5/22 2:27AM,-
Cat Detected,5/22 2:02AM,-
Clean Cycle Complete,5/22 12:42AM,-
Cycle Interrupted,5/22 12:41AM,-
Clean Cycle In Progress,5/22 12:39AM,-
Pet Weight Recorded ,5/22 12:14AM,6.8 lbs
Cat Detected,5/22 12:14AM,-
Clean Cycle Complete,5/21 11:49PM,-
Cycle Interrupted,5/21 11:46PM,-
Clean Cycle In Progress,5/21 11:46PM,-
Pet Weight Recorded ,5/21 11:21PM,9.2 lbs
Pet Weight Recorded ,5/21 11:15PM,9.2 lbs
Cat Detected,5/21 11:14PM,-
Clean Cycle Complete,5/21 10:11PM,-
Clean Cycle In Progress,5/21 10:09PM,-
Cat Detected,5/21 9:43PM,-
Clean Cycle Complete,5/21 8:21PM,-
Clean Cycle In Progress,5/21 8:19PM,-
Pet Weight Recorded ,5/21 7:54PM,6.6 lbs
Pet Weight Recorded ,5/21 7:52PM,9.3 lbs
Cat Detected,5/21 7:50PM,-
Clean Cycle Complete,5/21 6:41PM,-
Clean Cycle In Progress,5/21 6:39PM,-
Cat Detected,5/21 6:14PM,-
Clean Cycle Complete,5/21 5:23PM,-
Clean Cycle In Progress,5/21 5:21PM,-
Cat Detected,5/21 4:56PM,-
Clean Cycle Complete,5/21 3:16PM,-
Clean Cycle In Progress,5/21 3:13PM,-
Cat Detected,5/21 2:48PM,-
Clean Cycle Complete,5/21 11:04AM,-
Cycle Interrupted,5/21 11:02AM,-
Clean Cycle In Progress,5/21 11:01AM,-
Cat Detected,5/21 10:35AM,-
Clean Cycle Complete,5/21 9:48AM,-
Cycle Interrupted,5/21 9:46AM,-
Clean Cycle In Progress,5/21 9:45AM,-
Cat Detected,5/21 9:43AM,-
Clean Cycle Complete,5/21 9:43AM,-
Clean Cycle Complete,5/21 9:33AM,-
Clean Cycle Complete,5/21 8:13AM,-
Clean Cycle In Progress,5/21 8:11AM,-
Pet Weight Recorded ,5/21 7:46AM,14.2 lbs
Pet Weight Recorded ,5/21 7:20AM,14.3 lbs
Cat Detected,5/21 7:17AM,-
Clean Cycle Complete,5/21 6:20AM,-
Clean Cycle In Progress,5/21 6:18AM,-
Pet Weight Recorded ,5/21 5:53AM,9.1 lbs
Cat Detected,5/21 5:51AM,-
Clean Cycle Complete,5/20 11:33PM,-
Clean Cycle In Progress,5/20 11:30PM,-
Pet Weight Recorded ,5/20 11:05PM,9.1 lbs
Pet Weight Recorded ,5/20 10:41PM,9.1 lbs
Cat Detected,5/20 10:39PM,-
Clean Cycle Complete,5/20 5:55PM,-
Clean Cycle In Progress,5/20 5:53PM,-
Cat Detected,5/20 5:28PM,-
Clean Cycle Complete,5/20 5:07PM,-
Clean Cycle In Progress,5/20 5:05PM,-
Pet Weight Recorded ,5/20 4:40PM,9.1 lbs
Cat Detected,5/20 4:39PM,-
Clean Cycle Complete,5/20 10:27AM,-
Cycle Interrupted,5/20 10:25AM,-
