Activity,Timestamp,Value
Cat Detected,2/25 11:38PM,-
Clean Cycle Complete,2/25 10:46PM,-
Clean Cycle In Progress,2/25 10:44PM,-
Pet Weight Recorded ,2/25 10:19PM,18.6 lbs
Pet Weight Recorded ,2/25 10:10PM,18.6 lbs
Cat Detected,2/25 10:09PM,-
Clean Cycle Complete,2/25 9:50PM,-
Clean Cycle In Progress,2/25 9:48PM,-
Pet Weight Recorded ,2/25 9:22PM,7.5 lbs
Pet Weight Recorded ,2/25 8:58PM,17.5 lbs
Pet Weight Recorded ,2/25 8:57PM,17.5 lbs
Pet Weight Recorded ,2/25 8:49PM,14.8 lbs
Pet Weight Recorded ,2/25 8:39PM,17.4 lbs
Cat Detected,2/25 8:18PM,-
Clean Cycle Complete,2/25 7:45PM,-
Clean Cycle In Progress,2/25 7:43PM,-
Pet Weight Recorded ,2/25 7:18PM,18.7 lbs
Clean Cycle Complete,2/25 7:15PM,-
Clean Cycle In Progress,2/25 7:13PM,-
Pet Weight Recorded ,2/25 6:48PM,18.7 lbs
Cat Detected,2/25 6:47PM,-
Clean Cycle Complete,2/25 4:56PM,-
Clean Cycle In Progress,2/25 4:54PM,-
Pet Weight Recorded ,2/25 4:28PM,8.6 lbs
Cat Detected,2/25 4:27PM,-
Clean Cycle Complete,2/25 2:34PM,-
Clean Cycle In Progress,2/25 2:32PM,-
Pet Weight Recorded ,2/25 2:07PM,8.6 lbs
Cat Detected,2/25 2:06PM,-
Clean Cycle Complete,2/25 11:43AM,-
Clean Cycle In Progress,2/25 11:40AM,-
Pet Weight Recorded ,2/25 11:15AM,18.7 lbs
Cat Detected,2/25 11:15AM,-
Clean Cycle Complete,2/25 10:39AM,-
Clean Cycle In Progress,2/25 10:37AM,-
Pet Weight Recorded ,2/25 10:12AM,8.6 lbs
Pet Weight Recorded ,2/25 9:52AM,18.6 lbs
Cat Detected,2/25 9:51AM,-
Clean Cycle Complete,2/25 9:39AM,-
Clean Cycle In Progress,2/25 9:37AM,-
Pet Weight Recorded ,2/25 9:12AM,18.6 lbs
Pet Weight Recorded ,2/25 9:09AM,18.6 lbs
Pet Weight Recorded ,2/25 8:49AM,8.7 lbs
Pet Weight Recorded ,2/25 8:29AM,18.6 lbs
Pet Weight Recorded ,2/25 8:27AM,15.9 lbs
Cat Detected,2/25 8:19AM,-
Clean Cycle Complete,2/25 7:01AM,-
Clean Cycle In Progress,2/25 6:59AM,-
Pet Weight Recorded ,2/25 6:34AM,18.7 lbs
Pet Weight Recorded ,2/25 6:33AM,18.7 lbs
Pet Weight Recorded ,2/25 6:27AM,18.8 lbs
Pet Weight Recorded ,2/25 6:21AM,8.7 lbs
Cat Detected,2/25 6:20AM,-
Clean Cycle Complete,2/25 12:02AM,-
Clean Cycle In Progress,2/25 12:00AM,-
Pet Weight Recorded ,2/24 11:35PM,18.7 lbs
Cat Detected,2/24 11:32PM,-
Clean Cycle Complete,2/24 10:30PM,-
Clean Cycle In Progress,2/24 10:28PM,-
Pet Weight Recorded ,2/24 10:03PM,18.9 lbs
Pet Weight Recorded ,2/24 9:23PM,8.8 lbs
Pet Weight Recorded ,2/24 9:17PM,18.7 lbs
Pet Weight Recorded ,2/24 9:10PM,18.7 lbs
Cat Detected,2/24 8:51PM,-
Clean Cycle Complete,2/24 8:50PM,-
Cycle Interrupted,2/24 8:49PM,-
Clean Cycle In Progress,2/24 8:48PM,-
Cat Detected,2/24 8:15PM,-
Clean Cycle Complete,2/24 8:15PM,-
Cycle Interrupted,2/24 8:14PM,-
Cycle Interrupted,2/24 8:13PM,-
Cycle Interrupted,2/24 8:12PM,-
Clean Cycle In Progress,2/24 8:12PM,-
Cat Detected,2/24 7:46PM,-
Clean Cycle Complete,2/24 7:00PM,-
Clean Cycle In Progress,2/24 6:58PM,-
Pet Weight Recorded ,2/24 6:33PM,18.8 lbs
Pet Weight Recorded ,2/24 6:15PM,8.6 lbs
Cat Detected,2/24 6:13PM,-
Clean Cycle Complete,2/24 6:04PM,-
Clean Cycle In Progress,2/24 6:02PM,-
Pet Weight Recorded ,2/24 5:37PM,18.8 lbs
Cat Detected,2/24 5:37PM,-
Clean Cycle Complete,2/24 4:22PM,-
Clean Cycle In Progress,2/24 4:20PM,-
Pet Weight Recorded ,2/24 3:55PM,16.0 lbs
Pet Weight Recorded ,2/24 3:42PM,18.9 lbs
Pet Weight Recorded ,2/24 3:34PM,18.9 lbs
Cat Detected,2/24 3:21PM,-
Clean Cycle Complete,2/24 2:56PM,-
Clean Cycle In Progress,2/24 2:54PM,-
Pet Weight Recorded ,2/24 2:29PM,18.8 lbs
Pet Weight Recorded ,2/24 2:16PM,8.6 lbs
Cat Detected,2/24 2:15PM,-
Clean Cycle Complete,2/24 1:27PM,-
Clean Cycle In Progress,2/24 1:25PM,-
Pet Weight Recorded ,2/24 1:00PM,18.8 lbs
Cat Detected,2/24 12:59PM,-
Clean Cycle Complete,2/24 12:06PM,-
Cycle Interrupted,2/24 12:05PM,-
Clean Cycle In Progress,2/24 12:03PM,-
Cat Detected,2/24 11:16AM,-
Pet Weight Recorded ,2/24 10:51AM,18.7 lbs
Cat Detected,2/24 10:50AM,-
Clean Cycle Complete,2/24 9:46AM,-
Clean Cycle In Progress,2/24 9:44AM,-
Pet Weight Recorded ,2/24 9:18AM,15.2 lbs
Pet Weight Recorded ,2/24 9:16AM,12.4 lbs
Pet Weight Recorded ,2/24 9:09AM,5.0 lbs
Pet Weight Recorded ,2/24 9:06AM,5.0 lbs
Pet Weight Recorded ,2/24 8:44AM,15.0 lbs
Pet Weight Recorded ,2/24 8:28AM,18.6 lbs
Cat Detected,2/24 8:15AM,-
Clean Cycle Complete,2/24 6:31AM,-
Clean Cycle In Progress,2/24 6:29AM,-
Cat Detected,2/24 6:04AM,-
Clean Cycle Complete,2/24 6:03AM,-
Clean Cycle In Progress,2/24 6:01AM,-
Pet Weight Recorded ,2/24 5:36AM,18.6 lbs
Cat Detected,2/24 5:35AM,-
Clean Cycle Complete,2/24 12:52AM,-
Clean Cycle In Progress,2/24 12:50AM,-
Pet Weight Recorded ,2/24 12:24AM,18.8 lbs
Pet Weight Recorded ,2/24 12:22AM,18.8 lbs
Pet Weight Recorded ,2/24 12:09AM,8.8 lbs
Pet Weight Recorded ,2/23 11:53PM,18.7 lbs
Cat Detected,2/23 11:52PM,-
Clean Cycle Complete,2/23 11:27PM,-
Clean Cycle In Progress,2/23 11:25PM,-
Pet Weight Recorded ,2/23 11:00PM,16.0 lbs
Pet Weight Recorded ,2/23 10:47PM,18.6 lbs
Pet Weight Recorded ,2/23 10:45PM,18.7 lbs
Cat Detected,2/23 10:44PM,-
Clean Cycle Complete,2/23 9:38PM,-
Clean Cycle In Progress,2/23 9:36PM,-
Pet Weight Recorded ,2/23 9:11PM,18.6 lbs
Pet Weight Recorded ,2/23 9:10PM,18.7 lbs
Cat Detected,2/23 9:08PM,-
Clean Cycle Complete,2/23 9:00PM,-
Clean Cycle In Progress,2/23 8:57PM,-
Pet Weight Recorded ,2/23 8:32PM,18.8 lbs
Pet Weight Recorded ,2/23 8:24PM,8.6 lbs
Cat Detected,2/23 8:20PM,-
Clean Cycle Complete,2/23 7:53PM,-
Clean Cycle In Progress,2/23 7:51PM,-
Pet Weight Recorded ,2/23 7:26PM,15.9 lbs
Cat Detected,2/23 7:24PM,-
Clean Cycle Complete,2/23 6:54PM,-
Clean Cycle In Progress,2/23 6:51PM,-
Pet Weight Recorded ,2/23 6:26PM,18.7 lbs
Cat Detected,2/23 6:26PM,-
Clean Cycle Complete,2/23 4:48PM,-
Clean Cycle In Progress,2/23 4:45PM,-
Pet Weight Recorded ,2/23 4:20PM,8.6 lbs
Pet Weight Recorded ,2/23 4:07PM,18.7 lbs
Cat Detected,2/23 4:06PM,-
Clean Cycle Complete,2/23 2:45PM,-
Clean Cycle In Progress,2/23 2:42PM,-
Pet Weight Recorded ,2/23 2:17PM,18.8 lbs
Cat Detected,2/23 2:17PM,-
Clean Cycle Complete,2/23 1:23PM,-
Clean Cycle In Progress,2/23 1:21PM,-
Pet Weight Recorded ,2/23 12:55PM,18.8 lbs
Cat Detected,2/23 12:55PM,-
Clean Cycle Complete,2/23 12:45PM,-
Clean Cycle In Progress,2/23 12:43PM,-
Pet Weight Recorded ,2/23 12:18PM,8.7 lbs
Pet Weight Recorded ,2/23 12:09PM,18.8 lbs
Cat Detected,2/23 12:08PM,-
Clean Cycle Complete,2/23 12:08PM,-
Clean Cycle In Progress,2/23 12:06PM,-
Pet Weight Recorded ,2/23 11:41AM,18.9 lbs
Pet Weight Recorded ,2/23 11:40AM,18.9 lbs
Pet Weight Recorded ,2/23 11:39AM,18.8 lbs
Cat Detected,2/23 11:38AM,-
Clean Cycle Complete,2/23 11:34AM,-
Cycle Interrupted,2/23 11:32AM,-
Cycle Interrupted,2/23 11:31AM,-
Clean Cycle In Progress,2/23 11:31AM,-
Pet Weight Recorded ,2/23 11:06AM,18.9 lbs
Pet Weight Recorded ,2/23 10:53AM,16.0 lbs
Cat Detected,2/23 10:52AM,-
Clean Cycle Complete,2/23 10:45AM,-
Clean Cycle In Progress,2/23 10:43AM,-
Pet Weight Recorded ,2/23 10:18AM,18.7 lbs
Pet Weight Recorded ,2/23 10:17AM,18.6 lbs
Cat Detected,2/23 10:16AM,-
Clean Cycle Complete,2/23 9:20AM,-
Clean Cycle In Progress,2/23 9:18AM,-
Pet Weight Recorded ,2/23 8:53AM,16.1 lbs
Pet Weight Recorded ,2/23 8:48AM,8.6 lbs
Pet Weight Recorded ,2/23 8:26AM,18.6 lbs
Cat Detected,2/23 8:25AM,-
Clean Cycle Complete,2/23 8:24AM,-
Clean Cycle In Progress,2/23 8:22AM,-
Pet Weight Recorded ,2/23 7:57AM,18.6 lbs
Cat Detected,2/23 7:56AM,-
Clean Cycle Complete,2/23 6:24AM,-
Clean Cycle In Progress,2/23 6:22AM,-
Pet Weight Recorded ,2/23 5:57AM,8.7 lbs
Pet Weight Recorded ,2/23 5:30AM,18.5 lbs
Pet Weight Recorded ,2/23 5:29AM,18.6 lbs
Clean Cycle Complete,2/22 11:33PM,-
Cycle Interrupted,2/22 11:32PM,-
Clean Cycle In Progress,2/22 11:30PM,-
Pet Weight Recorded ,2/22 11:05PM,8.8 lbs
Pet Weight Recorded ,2/22 10:54PM,18.7 lbs
